#Time frame = 0.0 ps; Number of reference = 113000 atoms; Number of chains = 235
#Atomic index    1.5*max_eigval    Number of unit vectors
0     0.174     66
1     0.112     64
2     0.134     65
3     0.112     70
4     0.097     68
5     0.113     68
6     0.136     67
7     0.118     65
8     0.134     64
9     0.126     67
10     0.097     67
11     0.155     72
12     0.210     73
13     0.365     64
14     0.437     71
15     0.475     69
16     0.508     74
17     0.607     73
18     0.617     74
19     0.652     79
20     0.644     86
21     0.720     81
22     0.735     81
23     0.779     79
24     0.750     83
25     0.777     80
26     0.761     80
27     0.779     74
28     0.715     78
29     0.694     77
30     0.630     79
31     0.677     75
32     0.595     77
33     0.562     80
34     0.567     77
35     0.545     76
36     0.488     83
37     0.482     75
38     0.469     77
39     0.448     76
40     0.418     79
41     0.376     74
42     0.332     73
43     0.307     68
44     0.265     71
45     0.204     75
46     0.220     73
47     0.187     66
48     0.140     69
49     0.086     68
50     0.140     71
51     0.151     68
52     0.134     71
53     0.132     67
54     0.131     63
55     0.152     61
56     0.161     64
57     0.128     66
58     0.105     67
59     0.143     67
60     0.212     72
61     0.320     65
62     0.297     75
63     0.308     72
64     0.411     73
65     0.361     77
66     0.465     77
67     0.453     77
68     0.562     77
69     0.598     76
70     0.657     74
71     0.658     76
72     0.711     80
73     0.751     79
74     0.850     81
75     0.804     78
76     0.809     88
77     0.802     82
78     0.852     87
79     0.804     84
80     0.852     88
81     0.838     86
82     0.854     89
83     0.837     89
84     0.887     87
85     0.853     85
86     0.861     84
87     0.823     87
88     0.818     84
89     0.787     85
90     0.785     82
91     0.701     87
92     0.684     80
93     0.634     76
94     0.622     74
95     0.550     72
96     0.503     77
97     0.433     76
98     0.385     73
99     0.366     68
100     0.310     73
101     0.191     68
102     0.190     71
103     0.240     72
104     0.202     69
105     0.197     72
106     0.223     67
107     0.208     69
108     0.227     70
109     0.267     74
110     0.340     71
111     0.331     79
112     0.360     77
113     0.359     76
114     0.385     70
115     0.342     71
116     0.426     73
117     0.467     78
118     0.542     76
119     0.556     79
120     0.600     86
121     0.671     87
122     0.692     89
123     0.766     82
124     0.774     85
125     0.798     87
126     0.843     85
127     0.906     84
128     0.927     84
129     0.927     85
130     0.910     87
131     0.930     84
132     0.891     84
133     0.893     86
134     0.847     88
135     0.869     87
136     0.838     85
137     0.862     85
138     0.822     84
139     0.843     82
140     0.785     81
141     0.775     84
142     0.715     78
143     0.669     87
144     0.599     85
145     0.549     82
146     0.435     83
147     0.430     76
148     0.352     76
149     0.331     72
150     0.279     73
151     0.161     75
152     0.099     74
153     0.131     68
154     0.080     68
155     0.131     65
156     0.098     68
157     0.158     68
158     0.134     71
159     0.171     69
160     0.246     72
161     0.242     69
162     0.241     70
163     0.256     76
164     0.257     73
165     0.308     71
166     0.257     75
167     0.236     80
168     0.255     79
169     0.245     77
170     0.217     71
171     0.201     68
172     0.151     76
