#Time frame = 0.0 ps; Number of reference = 113000 atoms; Number of chains = 235
#Atomic index    1.5*max_eigval    Number of unit vectors
0     0.198     58
1     0.134     55
2     0.150     55
3     0.148     58
4     0.149     54
5     0.135     54
6     0.171     54
7     0.150     52
8     0.120     49
9     0.087     50
10     0.104     54
11     0.088     58
12     0.131     59
13     0.287     49
14     0.373     55
15     0.425     54
16     0.450     57
17     0.550     58
18     0.557     58
19     0.603     64
20     0.594     71
21     0.686     67
22     0.684     66
23     0.743     66
24     0.702     68
25     0.739     67
26     0.712     65
27     0.737     61
28     0.659     63
29     0.639     64
30     0.559     65
31     0.617     62
32     0.506     62
33     0.486     67
34     0.471     62
35     0.457     63
36     0.398     66
37     0.396     59
38     0.382     57
39     0.374     58
40     0.320     59
41     0.291     55
42     0.225     53
43     0.197     48
44     0.149     51
45     0.127     53
46     0.138     52
47     0.093     46
48     0.115     52
49     0.080     53
50     0.108     58
51     0.144     57
52     0.150     60
53     0.151     56
54     0.161     54
55     0.188     51
56     0.174     54
57     0.145     56
58     0.121     57
59     0.126     55
60     0.186     60
61     0.278     51
62     0.247     60
63     0.268     55
64     0.366     56
65     0.318     58
66     0.404     59
67     0.406     59
68     0.496     60
69     0.534     60
70     0.580     59
71     0.590     62
72     0.650     65
73     0.702     65
74     0.821     66
75     0.770     65
76     0.774     73
77     0.767     68
78     0.827     72
79     0.772     70
80     0.827     73
81     0.812     72
82     0.830     74
83     0.811     75
84     0.869     72
85     0.829     71
86     0.838     70
87     0.798     74
88     0.788     69
89     0.756     72
90     0.763     67
91     0.672     74
92     0.646     66
93     0.597     62
94     0.603     57
95     0.564     54
96     0.507     57
97     0.449     57
98     0.378     53
99     0.374     50
100     0.295     55
101     0.140     51
102     0.171     55
103     0.218     56
104     0.186     57
105     0.174     60
106     0.193     57
107     0.173     59
108     0.198     60
109     0.249     64
110     0.329     60
111     0.321     68
112     0.360     66
113     0.350     67
114     0.368     62
115     0.321     63
116     0.403     65
117     0.451     70
118     0.517     68
119     0.537     71
120     0.579     78
121     0.656     79
122     0.671     81
123     0.748     75
124     0.754     77
125     0.782     80
126     0.830     77
127     0.899     77
128     0.922     76
129     0.922     78
130     0.902     79
131     0.926     77
132     0.882     76
133     0.885     79
134     0.835     80
135     0.859     80
136     0.825     77
137     0.852     78
138     0.807     76
139     0.831     75
140     0.765     73
141     0.758     77
142     0.687     70
143     0.643     80
144     0.583     76
145     0.532     74
146     0.428     72
147     0.428     66
148     0.342     65
149     0.324     62
150     0.264     63
151     0.138     66
152     0.094     66
153     0.185     59
154     0.100     58
155     0.179     56
156     0.113     59
157     0.156     58
158     0.117     60
159     0.150     58
160     0.241     61
161     0.223     57
162     0.230     60
163     0.252     63
164     0.244     62
165     0.292     59
166     0.263     60
167     0.242     61
168     0.259     57
169     0.244     54
170     0.221     51
171     0.207     50
172     0.150     56
173     0.146     57
174     0.099     61
175     0.106     61
176     0.126     58
177     0.099     61
178     0.115     60
179     0.131     56
180     0.090     57
181     0.107     62
182     0.098     62
183     0.084     61
184     0.094     60
185     0.149     54
186     0.111     58
187     0.109     63
188     0.141     60
189     0.137     55
190     0.096     54
191     0.166     53
192     0.181     57
