#Total number of atoms considered in all chains per frame = 64400.0
#Time frame (ns)   Vector Correlation
0.00000000       1.00000000
10.50000000       0.88926756
21.00000000       0.85382085
31.50000000       0.82874178
42.00000000       0.80887494
52.50000000       0.79183492
63.00000000       0.77721000
73.50000000       0.76447360
84.00000000       0.75267668
94.50000000       0.74111522
105.00000000       0.73056307
115.50000000       0.72222797
126.00000000       0.71408747
136.50000000       0.70615173
147.00000000       0.70003894
157.50000000       0.69242234
168.00000000       0.68598711
178.50000000       0.67952350
189.00000000       0.67509397
199.50000000       0.66864459
210.00000000       0.66296535
220.50000000       0.65613783
231.00000000       0.65092286
241.50000000       0.64623076
252.00000000       0.64050021
262.50000000       0.63554294
273.00000000       0.62994179
283.50000000       0.62494369
294.00000000       0.62095510
304.50000000       0.61585812
315.00000000       0.61158787
325.50000000       0.60763761
336.00000000       0.60327182
346.50000000       0.59965136
357.00000000       0.59668257
367.50000000       0.59337239
378.00000000       0.58948625
388.50000000       0.58505982
399.00000000       0.58123891
409.50000000       0.57731121
420.00000000       0.57475856
430.50000000       0.57096445
441.00000000       0.56826426
451.50000000       0.56597475
462.00000000       0.56300869
472.50000000       0.56046133
483.00000000       0.55779880
493.50000000       0.55532540
504.00000000       0.55298940
514.50000000       0.55053770
525.00000000       0.54754064
535.50000000       0.54548193
546.00000000       0.54243844
556.50000000       0.53923134
567.00000000       0.53610886
577.50000000       0.53344254
588.00000000       0.53027600
598.50000000       0.52815640
609.00000000       0.52509665
619.50000000       0.52153572
630.00000000       0.51842471
640.50000000       0.51637311
651.00000000       0.51343313
661.50000000       0.51074867
672.00000000       0.50785419
682.50000000       0.50531932
693.00000000       0.50354829
703.50000000       0.50227105
714.00000000       0.50053281
724.50000000       0.49858200
735.00000000       0.49641640
745.50000000       0.49391660
756.00000000       0.49182358
766.50000000       0.48980291
777.00000000       0.48862268
787.50000000       0.48781432
798.00000000       0.48588611
808.50000000       0.48496944
819.00000000       0.48322650
829.50000000       0.47946346
840.00000000       0.47655720
850.50000000       0.47319085
861.00000000       0.46892733
871.50000000       0.46666264
882.00000000       0.46373193
892.50000000       0.46081844
903.00000000       0.45703402
913.50000000       0.45415301
924.00000000       0.45223602
934.50000000       0.44865708
945.00000000       0.44639345
955.50000000       0.44383478
966.00000000       0.44102399
976.50000000       0.43810813
987.00000000       0.43513624
997.50000000       0.43287590
1008.00000000       0.43067537
1018.50000000       0.42859429
1029.00000000       0.42677276
1039.50000000       0.42434794
1050.00000000       0.42371881
1060.50000000       0.42228829
1071.00000000       0.42044801
1081.50000000       0.41785685
1092.00000000       0.41568957
1102.50000000       0.41243162
1113.00000000       0.40993619
1123.50000000       0.40741190
1134.00000000       0.40645155
1144.50000000       0.40302061
1155.00000000       0.40000733
1165.50000000       0.39637943
1176.00000000       0.39412218
1186.50000000       0.39176174
1197.00000000       0.38951521
1207.50000000       0.38723716
1218.00000000       0.38539858
1228.50000000       0.38159563
1239.00000000       0.37800182
1249.50000000       0.37433130
1260.00000000       0.37101859
1270.50000000       0.36937746
1281.00000000       0.36616116
1291.50000000       0.36394896
1302.00000000       0.36262157
1312.50000000       0.36160617
1323.00000000       0.36085826
1333.50000000       0.35902033
1344.00000000       0.35697917
1354.50000000       0.35554423
1365.00000000       0.35169754
1375.50000000       0.34714040
1386.00000000       0.34521513
1396.50000000       0.34169182
1407.00000000       0.33887042
1417.50000000       0.33669167
1428.00000000       0.33342052
1438.50000000       0.33139666
1449.00000000       0.32876767
1459.50000000       0.32499218
1470.00000000       0.32093762
1480.50000000       0.31652214
1491.00000000       0.31564652
1501.50000000       0.31201250
1512.00000000       0.30925386
1522.50000000       0.30627257
1533.00000000       0.30440148
1543.50000000       0.30075278
1554.00000000       0.29857462
1564.50000000       0.29782300
1575.00000000       0.29671560
1585.50000000       0.29451009
1596.00000000       0.29338615
1606.50000000       0.29208853
1617.00000000       0.29084132
1627.50000000       0.28975027
1638.00000000       0.28711528
1648.50000000       0.28737275
1659.00000000       0.28302221
1669.50000000       0.28003805
1680.00000000       0.27815296
1690.50000000       0.27534260
1701.00000000       0.27143101
1711.50000000       0.26689434
1722.00000000       0.26568697
1732.50000000       0.26379144
1743.00000000       0.26190982
1753.50000000       0.25939477
1764.00000000       0.25909259
1774.50000000       0.25736803
1785.00000000       0.25286936
1795.50000000       0.25356903
1806.00000000       0.24989090
1816.50000000       0.24989192
1827.00000000       0.24705017
1837.50000000       0.24492978
1848.00000000       0.24222339
1858.50000000       0.23791389
1869.00000000       0.23414371
1879.50000000       0.23111422
1890.00000000       0.22865609
1900.50000000       0.23041630
1911.00000000       0.22877297
1921.50000000       0.22655519
1932.00000000       0.22297442
1942.50000000       0.21966813
1953.00000000       0.21671585
1963.50000000       0.21408334
1974.00000000       0.21711333
1984.50000000       0.21098257
1995.00000000       0.20420698
2005.50000000       0.20140840
2016.00000000       0.19584734
2026.50000000       0.19674153
2037.00000000       0.18829722
2047.50000000       0.18447779
2058.00000000       0.17935003
2068.50000000       0.17354592
2079.00000000       0.17332965
2089.50000000       0.18674632
2100.00000000       0.17609343
