#Total number of atoms considered in all chains per frame = 49400.0
#Time frame (ns)   Vector Correlation
0.00000000       1.00000000
5.00000000       0.43800974
10.00000000       0.25845268
15.00000000       0.15509689
20.00000000       0.09785775
25.00000000       0.06100361
30.00000000       0.04336748
35.00000000       0.02621485
40.00000000       0.01829023
45.00000000       0.01192262
50.00000000       0.01260160
55.00000000       0.01543322
60.00000000       0.01617582
65.00000000       0.02048426
70.00000000       0.01694995
75.00000000       0.01374907
80.00000000       0.00226677
85.00000000       0.00533338
90.00000000       0.00589909
95.00000000       0.00975083
100.00000000       0.00816533
105.00000000       -0.00560085
110.00000000       -0.01213921
115.00000000       -0.01656651
120.00000000       -0.01388317
125.00000000       -0.01105991
130.00000000       -0.00504796
135.00000000       -0.00088173
140.00000000       -0.00056773
145.00000000       0.00766733
150.00000000       0.00221691
155.00000000       -0.00448625
160.00000000       0.01355234
165.00000000       0.01081185
170.00000000       0.01271293
175.00000000       0.01731482
180.00000000       0.01821946
185.00000000       -0.00311751
190.00000000       -0.02294424
195.00000000       -0.01965402
200.00000000       -0.04162283
