#Total number of atoms considered in all chains per frame = 1152.0
#Time frame (ns)   Vector Correlation
0.00000000       1.00000000
1.00000000       0.60125344
2.00000000       0.41614137
3.00000000       0.29282963
4.00000000       0.20379481
5.00000000       0.14166531
6.00000000       0.09526937
7.00000000       0.07231883
8.00000000       0.05242526
9.00000000       0.03684856
10.00000000       0.02361661
11.00000000       0.01807200
12.00000000       0.00762473
13.00000000       0.01039805
14.00000000       0.01573653
15.00000000       0.01775452
16.00000000       0.01845279
17.00000000       0.01226858
18.00000000       0.00339471
19.00000000       0.00024668
20.00000000       -0.00102525
21.00000000       -0.00406146
22.00000000       -0.00467334
23.00000000       -0.00011054
24.00000000       -0.00243502
25.00000000       -0.01163813
26.00000000       -0.01483559
27.00000000       -0.00959053
28.00000000       -0.00904918
29.00000000       -0.01182905
30.00000000       -0.00823274
31.00000000       -0.01261229
32.00000000       -0.01022588
33.00000000       -0.01782583
34.00000000       -0.00880428
35.00000000       -0.00050688
36.00000000       0.00023180
37.00000000       0.00731978
38.00000000       0.01623507
39.00000000       0.01467399
40.00000000       0.00823523
41.00000000       0.00412827
42.00000000       0.00971317
43.00000000       0.01308875
44.00000000       0.01224943
45.00000000       0.01156207
46.00000000       0.01549431
47.00000000       0.01610783
48.00000000       0.01255188
49.00000000       0.01363835
50.00000000       0.01902237
51.00000000       0.01067185
52.00000000       0.00892516
53.00000000       0.00691405
54.00000000       0.01223141
55.00000000       0.01294460
56.00000000       0.00459548
57.00000000       0.01306707
58.00000000       0.00674905
59.00000000       0.00852485
60.00000000       0.00559679
61.00000000       -0.00860643
62.00000000       -0.01606408
63.00000000       -0.00289440
64.00000000       -0.00016541
65.00000000       0.00013767
66.00000000       -0.00433519
67.00000000       0.00015520
68.00000000       0.00106340
69.00000000       -0.00669793
70.00000000       -0.01960960
71.00000000       -0.01976453
72.00000000       -0.01658119
73.00000000       -0.02350880
74.00000000       -0.03205013
75.00000000       -0.01991121
76.00000000       -0.03858710
77.00000000       -0.02764139
78.00000000       -0.02095960
79.00000000       -0.01284519
80.00000000       -0.00746534
81.00000000       -0.01147221
82.00000000       -0.02347798
83.00000000       -0.01131139
84.00000000       -0.01030301
85.00000000       0.01410012
86.00000000       -0.00079966
87.00000000       -0.02271099
88.00000000       -0.00172744
89.00000000       -0.02308648
90.00000000       0.00020664
91.00000000       0.00329801
92.00000000       -0.01561960
93.00000000       0.01600239
94.00000000       -0.01679753
95.00000000       0.00005153
96.00000000       -0.00109474
97.00000000       0.01739188
98.00000000       0.02283189
99.00000000       -0.01273684
100.00000000       0.09835420
